id,time,device_id,application_id,gateway_id,modulation,"spreading factor",bandwidth,snr,rssi,frequency,f_port,f_cnt,latitude,longitude,altitude,"accuracy meters",hdop,satellites,"location provider","user agent","experiment name"
530546597,"2022-07-04 02:42:48.292+00",endnode1,watermeasurement,bkmaker,LORA,7,125000,8.20,-65.00,922200000,1,13,16.075121,108.153941,10.2,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546607,"2022-07-04 02:42:54.459+00",endnode1,watermeasurement,bkmaker,LORA,7,125000,10.50,-69.00,922400000,1,14,16.075129,108.153960,12.0,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546606,"2022-07-04 02:42:54.459+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,-5.30,-87.00,922400000,1,14,16.075129,108.153960,12.0,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546620,"2022-07-04 02:42:59.101+00",endnode2,watermeasurement,bkmaker,LORA,7,125000,9.20,-78.00,922000000,1,151,16.075182,108.153937,-9.4,4.90,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
530546632,"2022-07-04 02:43:00.627+00",endnode1,watermeasurement,bkmaker,LORA,7,125000,8.20,-81.00,922600000,1,15,16.075119,108.153956,11.8,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546660,"2022-07-04 02:43:06.794+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,-7.30,-88.00,922800000,1,16,16.075114,108.153957,11.4,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546673,"2022-07-04 02:43:19.47+00",endnode2,watermeasurement,bkmaker,LORA,7,125000,7.50,-91.00,922200000,1,154,16.075128,108.153952,-7.1,31.86,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
530546678,"2022-07-04 02:43:21.008+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,-7.00,-86.00,922000000,1,18,16.075113,108.153956,11.4,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546679,"2022-07-04 02:43:21.008+00",endnode1,watermeasurement,bkmaker,LORA,7,125000,9.50,-69.00,922000000,1,18,16.075113,108.153956,11.4,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546687,"2022-07-04 02:43:25.637+00",endnode2,watermeasurement,bkmaker,LORA,7,125000,9.80,-75.00,922400000,1,155,16.075128,108.153952,-7.1,31.86,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
530546697,"2022-07-04 02:43:31.807+00",endnode2,watermeasurement,bkmaker,LORA,7,125000,7.20,-69.00,922600000,1,156,16.075128,108.153952,-7.1,31.86,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
530546705,"2022-07-04 02:43:41.398+00",endnode1,watermeasurement,bkmaker,LORA,7,125000,9.80,-83.00,922200000,1,21,16.075109,108.153958,11.2,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546712,"2022-07-04 02:43:47.569+00",endnode1,watermeasurement,bkmaker,LORA,7,125000,10.50,-89.00,922400000,1,22,16.075108,108.153957,11.1,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546719,"2022-07-04 02:43:52.196+00",endnode2,watermeasurement,bkmaker,LORA,7,125000,8.80,-87.00,922000000,1,159,16.075128,108.153952,-7.1,31.86,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
