id,time,device_id,application_id,gateway_id,modulation,"spreading factor",bandwidth,snr,rssi,frequency,f_port,f_cnt,latitude,longitude,altitude,"accuracy meters",hdop,satellites,"location provider","user agent","experiment name"
479436244,"2022-01-22 01:24:50.678+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.00,-106.00,921400000,1,72,16.126266,108.119616,-9.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479436278,"2022-01-22 01:24:59.357+00",end-node1,relay-rf200,trungnam,LORA,7,125000,6.00,-116.00,921400000,1,73,16.127043,108.119401,-8.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479436304,"2022-01-22 01:25:08.353+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-2.30,-116.00,921400000,1,74,16.127548,108.119391,-8.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479436318,"2022-01-22 01:25:16.479+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-2.00,-114.00,921400000,1,75,16.128053,108.119423,-11.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479436496,"2022-01-22 01:26:29.735+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-3.80,-117.00,921400000,1,79,16.135320,108.119782,-20.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479436645,"2022-01-22 01:27:23.857+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-0.50,-115.00,921400000,1,85,16.141090,108.120149,-16.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479436685,"2022-01-22 01:27:42.758+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-7.50,-107.00,921400000,1,87,16.142424,108.120675,-17.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479436972,"2022-01-22 01:29:17.841+00",end-node1,relay-rf200,trungnam,LORA,7,125000,5.00,-112.00,921400000,1,0,16.143197,108.128990,1.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437013,"2022-01-22 01:29:26.245+00",end-node1,relay-rf200,trungnam,LORA,7,125000,2.50,-116.00,921400000,1,1,16.143774,108.129663,4.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437052,"2022-01-22 01:29:44+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.00,-112.00,921400000,1,3,16.142816,108.129910,12.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437079,"2022-01-22 01:29:53.484+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.30,-95.00,921400000,1,4,16.142099,108.130493,17.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437090,"2022-01-22 01:30:03.545+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.50,-96.00,921400000,1,5,16.142206,108.131377,17.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437113,"2022-01-22 01:30:12.632+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.30,-95.00,921400000,1,6,16.142175,108.132271,21.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437198,"2022-01-22 01:30:38.069+00",end-node1,relay-rf200,trungnam,LORA,7,125000,1.00,-114.00,921400000,1,9,16.142249,108.135033,43.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437242,"2022-01-22 01:30:55.841+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.00,-108.00,921400000,1,11,16.143550,108.135216,55.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437309,"2022-01-22 01:31:14.261+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-0.80,-117.00,921400000,1,13,16.144865,108.136301,60.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437310,"2022-01-22 01:31:14.261+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-3.20,-106.00,921400000,1,13,16.144865,108.136301,60.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437326,"2022-01-22 01:31:22.548+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.50,-106.00,921400000,1,14,16.145365,108.136915,63.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437327,"2022-01-22 01:31:22.548+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-4.20,-105.00,921400000,1,14,16.145365,108.136915,63.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479437348,"2022-01-22 01:31:30.769+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.50,-111.00,921400000,1,15,16.146157,108.137234,65.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438331,"2022-01-22 01:37:50.52+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-4.50,-119.00,921400000,1,0,16.170723,108.128832,258.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438351,"2022-01-22 01:37:59.5+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-5.50,-122.00,921400000,1,1,16.170900,108.128977,262.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438397,"2022-01-22 01:38:18.259+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-5.80,-123.00,921400000,1,3,16.170900,108.128977,262.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438436,"2022-01-22 01:38:35.599+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-7.50,-124.00,921400000,1,5,16.171006,108.129002,262.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438448,"2022-01-22 01:38:44.405+00",end-node1,relay-rf200,trungnam,LORA,7,125000,0.50,-113.00,921400000,1,6,16.171389,108.129142,261.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438504,"2022-01-22 01:38:53.936+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-1.00,-114.00,921400000,1,7,16.171883,108.129561,267.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438721,"2022-01-22 01:40:18.548+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-5.30,-119.00,921400000,1,5,16.177788,108.130311,307.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438858,"2022-01-22 01:41:12.486+00",end-node1,relay-rf200,trungnam,LORA,7,125000,0.50,-116.00,921400000,1,11,16.181621,108.131258,340.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438873,"2022-01-22 01:41:20.812+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-2.80,-117.00,921400000,1,12,16.182305,108.131355,344.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438939,"2022-01-22 01:41:47.961+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-2.00,-114.00,921400000,1,15,16.184869,108.131551,363.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479438958,"2022-01-22 01:41:57.774+00",end-node1,relay-rf200,trungnam,LORA,7,125000,2.30,-108.00,921400000,1,16,16.185641,108.131696,371.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439008,"2022-01-22 01:42:06.45+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.30,-104.00,921400000,1,17,16.186363,108.133147,383.0,2.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439011,"2022-01-22 01:42:14.597+00",end-node1,relay-rf200,trungnam,LORA,7,125000,4.80,-110.00,921400000,1,18,16.186397,108.133242,384.0,2.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439015,"2022-01-22 01:42:18.21+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-1.50,-114.00,921400000,1,0,16.186492,108.133518,386.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439071,"2022-01-22 01:42:26.916+00",end-node1,relay-rf200,trungnam,LORA,7,125000,0.30,-114.00,921400000,1,1,16.185783,108.134939,396.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439072,"2022-01-22 01:42:35.001+00",end-node1,relay-rf200,trungnam,LORA,7,125000,6.30,-113.00,921400000,1,2,16.185783,108.134939,396.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439121,"2022-01-22 01:42:43.12+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-0.50,-117.00,921400000,1,3,16.185286,108.135591,400.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439170,"2022-01-22 01:42:51.885+00",end-node1,relay-rf200,trungnam,LORA,7,125000,4.00,-108.00,921400000,1,4,16.185081,108.136590,410.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439172,"2022-01-22 01:43:01.007+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.50,-108.00,921400000,1,5,16.185081,108.136590,410.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439220,"2022-01-22 01:43:10.933+00",end-node1,relay-rf200,trungnam,LORA,7,125000,6.00,-104.00,921400000,1,6,16.185405,108.135855,409.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439270,"2022-01-22 01:43:19.492+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-3.80,-111.00,921400000,1,7,16.186202,108.135137,411.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439271,"2022-01-22 01:43:31.557+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-0.30,-108.00,921400000,1,1,16.187457,108.133989,417.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439272,"2022-01-22 01:43:40.744+00",end-node1,relay-rf200,trungnam,LORA,7,125000,6.00,-108.00,921400000,1,2,16.187457,108.133989,417.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439285,"2022-01-22 01:43:49.898+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.50,-102.00,921400000,1,3,16.187429,108.132918,424.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439301,"2022-01-22 01:43:58.371+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.00,-102.00,921400000,1,4,16.187426,108.131961,433.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439334,"2022-01-22 01:44:07.787+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-4.00,-118.00,921400000,1,5,16.187373,108.131247,438.0,4.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439420,"2022-01-22 01:44:45.244+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-6.20,-107.00,921400000,1,9,16.187337,108.130766,454.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439419,"2022-01-22 01:44:45.244+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-1.80,-116.00,921400000,1,9,16.187337,108.130766,454.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439475,"2022-01-22 01:45:03.638+00",end-node1,relay-rf200,trungnam,LORA,7,125000,2.30,-112.00,921400000,1,11,16.187148,108.130923,459.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479439596,"2022-01-22 01:45:39.053+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-7.00,-124.00,921400000,1,15,16.188279,108.131143,461.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440205,"2022-01-22 01:49:28.667+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.80,-105.00,921400000,1,14,16.187330,108.130844,460.3,77.60,,,network,"Android11 App34:2021.12.17",trungnamtest
479440229,"2022-01-22 01:49:48.334+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-3.80,-114.00,921400000,1,16,16.187338,108.133379,449.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440370,"2022-01-22 01:50:42.829+00",end-node1,relay-rf200,trungnam,LORA,7,125000,2.80,-114.00,921400000,1,22,16.184953,108.136175,420.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440407,"2022-01-22 01:50:52.855+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.80,-112.00,921400000,1,23,16.185449,108.135490,409.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
