uid,Session,AppID,DevID,DevEui,Time,FPort,FCnt,Frequency,Modulation,Bandwidth,SpreadingFactor,Bitrate,CodingRate,GatewayId,GatewayEui,AntennaIndex,GatewayTime,GatewayTimestamp,FineTimestamp,FineTimestampEncrypted,FineTimestampEncryptedKeyId,ChannelIndex,Rssi,SignalRssi,Snr,GatewayLatitude,GatewayLongitude,GatewayAltitude,GatewayLocationAccuracy,GatewayLocationSource,Latitude,Longitude,Altitude,AccuracyMeters,Satellites,Hdop,AccuracySource,Experiment,UserId,UserAgent,
798,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214549183000000,1,7,922200000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800827000000,504556171,null,W0JAYWZkMzdkMw==
,0,4,-98,-100,1,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0686,108.225,-0.0933356,35.4249,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
799,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214555326000000,1,8,922400000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214554998000000,3070494412,null,null,null,5,-101,null,6.3,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-0.44641,51.1467,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
800,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214555326000000,1,8,922400000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800998000000,510726372,null,W0JANTA1M2YxMA==
,0,5,-101,-107,-5,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0686,108.225,-0.44641,51.1467,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
801,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214561494000000,1,9,922600000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214561168000000,3076664596,null,null,null,6,-98,null,7.5,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-0.44641,51.1467,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
802,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214561494000000,1,9,922600000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800168000000,516896564,875205006,W0JAMmQyZWEwOQ==
,0,6,-101,-109,-7,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0686,108.225,-0.44641,51.1467,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
803,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214581885000000,1,12,922000000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214581554000000,3097050411,null,null,null,3,-96,null,8.3,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-3.35754,13.3593,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
804,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214595230000000,1,14,923400000,LORA,125000,7,null,4/5,7276ff002e06029f,null,0,1658214593830000000,1566264252,null,W0JAOGQ5N2UyZg==
